Number,Photo,Artist,Artwork Title,Year,Location (Country),"Tentative Description (Note: each description was not provided by the artists, but was generated using artificial intelligence with human supervision, and is still open to different interpretations).",Website link,Author Photo / Copyrights ,,,,,,,,,,,,,,,,,,,,,,,,,,Aware_SD
652,Picture,Alexandre Keto,untitled,2014,Ghana,"A person holding a bird in their hands against a backdrop that includes a heart shape. The setting and attire suggest a connection to African culture. The color palette is composed of natural, muted tones like browns, ochres, and tans, with the heart rendered in a rust-like color.
",https://www.alexandreketo.com/murals?pgid=k6i6r6hl-36325912-0631-4323-9cbc-0d37ca228ff4&lang=en,Alexandre Keto,,,,,,,,,,,,,,,,,,,,,,,,,,2.46
653,Picture,Alexandre Keto,untitled,2018,Germany,"A figure, likely a person, with an intricate hairstyle or headpiece, which merges with the trees and leaves painted around them. The color palette includes earthy tones for the figure and the trees, with vibrant greens for the leaves.
",https://www.alexandreketo.com/murals?pgid=k6i6r6hl-11d916fb-1dfa-4c0b-8a73-d3193bbf7918&lang=en,Alexandre Keto,,,,,,,,,,,,,,,,,,,,,,,,,,2.61
654,Picture,Alexandre Keto,untitled,2023,Brazil,"Two large profiles of people facing each other, both with braided hair. An external hand is depicted on the left side of the mural, appearing to braid or adjust the hair of the person on the left. The person on the right has long braids that hang down. The background features bright orange and peach tones, creating a vibrant contrast with the sand-like color of the people's faces. A door and a window are integrated into the mural, positioned between the two people. The artist's name is visible on the right side of the mural.",----------,Alexandre Keto,,,,,,,,,,,,,,,,,,,,,,,,,,2.82
655,Picture,ARCY,,,Brazil,"A sea turtle, occupying the corner of a building, giving the illusion that the creature is swimming around the structure. The color palette has blues and greens with yellow and white highlights.",https://www.instagram.com/p/BxsDa_XBhyb/,Becca Perrel,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
656,Picture,ARCY,The Old person and the Sea,,Republic of Ireland,"An elderly person, set against an abstract background with splashes of paint and vivid colors. The color palette includes a mix of earthy tones in the person's features, while the background has yellows and greens.
",https://www.instagram.com/p/B1wE_ZGA9Cz/,ARCY,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
657,Picture,ARCY,,,United States,"A series of panels, one displaying a close-up of hands working with a tool, and another showing a focused face of a person, presumably a worker or craftsperson, engaged in physical labor. The color palette is subdued, relying on a monochromatic scheme with shades of brown and beige.",https://www.instagram.com/p/B8wCYl_JlfI/,ARCY,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
658,Picture,Diana Zyan,Raíces negras,2020,Mexico,"Two side-by-side portraits displaying two different expressions. The color palette is warm, dominated by earthy tones with accents of blue.
",https://www.instagram.com/p/CBLbQDXjhCP/,Diana Zyan,,,,,,,,,,,,,,,,,,,,,,,,,,2.44
659,Picture,Diana Zyan,Dignidad,2020,Mexico,"A profile of a person (possibly a woman) with a expression representing determination. The individual has short, curly hair that is colored in shades of blue, wearing a large, beaded necklace in red and orange hues that wraps around the neck and shoulders. The background features a dynamic pattern of blue and red shapes, with circles and curves. The mural is painted on a brick wall. The artist's signature is visible on the right side of the mural.",https://www.instagram.com/p/CBvixhVD9Qb/,Diana Zyan,,,,,,,,,,,,,,,,,,,,,,,,,,2.63
660,Picture,Diana Zyan,Antítesis de la urbanización,2022,Mexico,"In the center, a bird, possibly a roadrunner, is perched on the rim of an overturned, colorful toilet. Two potted plants sit on top of the toilet. One pot is blue, while the other is green. The plants have lush green leaves, and their vines and stems drape over the sides. The backdrop consists of warm hues, including shades of pink, orange, and purple, giving a soft, sunset-like atmosphere to the scene. Green foliage and grass grow around the base of the toilet, merging the environment with the unnatural placement of the toilet and pots.",https://www.instagram.com/p/CYSduKlrWBZ/,Diana Zyan,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
661,Picture,Diana Zyan & Michel Chetto,Antítesis de la urbanización,2022,Brazil,"Two figures seated on a couch; the one on the left - a person - is holding a camera and appears to be taking a selfie, while the figure on the right has their face obscured by a pillow. The color palette used blue and warm tones. (Note: Part of the series called ""Antithesis of Urbanization,"" the work highlights the idea that technology, like the phone, should be used to shorten distances rather than to prolong conversations, as highlighted by the artist).",https://www.instagram.com/p/CbbdNiXDFIU/?hl=pt,Diana Zyan,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
662,Picture,Overhunder / OU (Erik Burke) ,Rèv Rive Nan Fè Nwa / Dreams Happen in the Dark,2022,Haiti,"The upper part of the mural showcases abstract shapes that resemble large, dark leaves or feathers with blue and red accents. These shapes fan out from the center, where a pair of eyes, barely visible, appears to be closed. Below the abstract design, a black and white photo-realistic depiction shows a group of people in a dimly lit space. This section is contrasted by the zigzag patterns in purple, blue, and green on either side, which seem to flow into the central image. At the bottom of the mural, there is a phrase in white text that reads ""RÈV RIVE NAN FÈ NWA,"" which is Creole for ""Dreams come in darkness.""
",https://eriktburke.com/Haiti ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
663,Picture,Overhunder / OU (Erik Burke) ,It's Really About That Time,2022,United States,"A portrayal of of Martin Luther King Jr., along with a raised fist. Accompanying the visuals are phrases ""The time is always right to do what is right"" and ""The time is always... right to do what is right..."", which are attributed to King. The colors are muted, with sepia tones for the figure against the red brick background, while the fist and text incorporate pastel shades.",https://eriktburke.com/The-Dubuque-Dream-Center ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,2.23
664,Picture,Overhunder / OU (Erik Burke) ,J is For... Julius Jones,2021,United States,"Two distinct sections: The left side shows the profile of a person, with dark skin in shades of deep blue. The person appears to be either kissing or blowing towards the petals of a large sunflower, which are yellow with tips fading into pinkish-red. The right side depicts a muscular figure from the waist up, flexing their right arm. The background behind their features a pattern of intersecting lines in red and yellow, forming a geometric design. The person’s skin is rendered in brown tones. ",https://eriktburke.com/OKC ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,3.00
665,Picture,Overhunder / OU (Erik Burke) ,Nevada Embrace,2021,United States,"Mural painted on the corner of a building, using the structure to create the visual effect. The scene features two large hands, each extending from either side of the building. The hands appear to be grasping a natural landscape that spans across both walls. The landscape depicted includes snow-capped mountains in the center, with rocky, arid terrain on the lower parts of the mural. Above the mountainous landscape, the sky is represented with geometric in various shades of red, orange, blue, and purple. ",https://eriktburke.com/Nevada-Embrace ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,2.27
666,Picture,Overhunder / OU (Erik Burke) ,1919 Sunset and 2020 Sunrise,2020,United States,"A person's head and shoulders emerging a background in red and orange. This scene represents the aftermath of violence in Chicago, where confrontations led to riots, fires, and social disruption. (Note: A tribute to Eugene Williams and the Red Summer, a tragic event in history (1919), when a Black person was unjustly arrested after a confrontation on the ""Black side"" of a Chicago beach. The incident sparked widespread violence, leading to weeks of riots, shootings, and arson, leaving thousands homeless. The piece serves as a catalyst for positive change in the future). 
",https://www.instagram.com/p/CEBLi-8J8F7/ ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,3.10
667,Picture,Overhunder / OU (Erik Burke) ,"Right Place, Wrong Time",2019,United States,"Three garage doors of the Las Vegas Fire Department, Station 103, each adorned with a unique piece of art. Each door features a silhouette against a background of flames and smoke.
",https://eriktburke.com/Las-Vegas-Fire-Dept ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
668,Picture,Overhunder / OU (Erik Burke) ,Salvavidas II,2018,Spain,"A group of individuals with distressed expressions, reaching out for help, against a dark, tumultuous water background. They are wearing orange life vests associated with maritime safety.
",https://eriktburke.com/Salvavidas-II ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
669,Picture,Overhunder / OU (Erik Burke) ,Archaeology is Mining for Knowledge,2017,United States,"Two figures with air bubbles around them, which could represent the excavation of history and the unearthing of past civilizations, likened to the process of mining. Title ""Archaeology is Mining for Knowledge"". ",https://eriktburke.com/Las-Vegas ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,2.32
670,Picture,Overhunder / OU (Erik Burke) ,Blueprint of a Mother,2015,United States,"A profile of a person in blue tones, with their hair and features merging with a floral element, which in turn transitions into a mountainous landscape. This integration of huperson, flora, and the natural environment. Use of blue hues throughout the image and red to the flower. (Note: ""Portrait of a Mother"" features a person in profile in blue, with elements like Mount Whitney, sagebrush, and a carnation. The person, nurturing their flock of sheep, symbolizes care and nature. The carnation, symbolizing the intricate workings of the brain, ties in with the mural’s ceremonial and decorative purpose).
",https://eriktburke.com/Blueprint-of-a-Mother ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
671,Picture,Overhunder / OU (Erik Burke) ,Candy Bomber,2020,United States,"Homage to the ""Candy Bomber,"" a term given to U.S. pilot Gail Halvorsen, who dropped candy attached to parachutes to children during the Berlin Airlift after World War II. Shows an older person in profile, laughing or smiling, with a pilot's cap, evoking the joyful spirit of Halvorsen. In the background, a stylized representation of an airplane dropping candy can be seen, with hands reaching upwards to catch the falling treats. 
",https://eriktburke.com/Candy-Bomber ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
672,Picture,Overhunder / OU (Erik Burke) ,OURS,2019,United States,"A series of hands holding various paintings, with the larger mural itself spread across multiple surfaces. Each painting within the mural depicts a different scene: Leftmost Panel: A person holds a blue flag with a yellow star and a circular emblem, which is likely the Nevada state flag. Second Panel: A person holds a painting of a kingfisher bird perched on a rock near a body of water. The background showcases a sunset over a landscape with mountains and water. Third Panel: A set of hands displays a painting featuring a dramatic sunset with dark clouds over a body of water, creating a striking contrast of colors. Rightmost Panel: A person holding a painting of two silhouetted animals (possibly bighorn sheep) against a night sky. A shooting star or comet streaks across the sky in this scene. The colors range from the blues and yellows of the flag to the vibrant hues of sunsets and the dark tones of a nighttime scene.",https://eriktburke.com/OURS ,Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
673,Picture,Overhunder / OU (Erik Burke) ,Noia Inspirada / Girl Inspired,2018,Spain,"A figure, possibly a girl, seemingly in a state of distress or contemplation, with their hand on their forehead looking upward. Adjacent to the figure are what appear to be wings or feathered elements. 
",https://eriktburke.com/Nau-Bostik ,Rikard Larma,,,,,,,,,,,,,,,,,,,,,,,,,,2.44
674,Picture,Overhunder / OU (Erik Burke) ,,2016,United Kingdom,"A monochromatic blue depiction of a young person in profile. The person is dressed in a traditional-looking dress, and they are carrying a baby in a sling on their back, suggesting a maternal or caretaker role despite their young age. The child in the sling is partially visible. The girl's has one hand raised to their mouth. The entire figure is rendered in various shades of blue. The background is a plain, pale color.",https://www.instagram.com/p/BHANdrDo1Ei/ ,Stephan Vanfleteren,,,,,,,,,,,,,,,,,,,,,,,,,,1.82
675,Picture,Overhunder / OU (Erik Burke) ,Silhouette,2018,United States,"A close-up depiction of a hand reaching out towards the viewer, set against a backdrop that includes a representation of a blue house. The image of the house appears somewhat distant or miniature in comparison to the scale of the hand. (Note: A young child holding a model of a low-income home provided by the Reno Housing Authority, symbolizing the importance of affordable housing for families in need).
","https://www.instagram.com/p/BhLGgd8A9Ad/ 
https://eriktburke.com/Silhouette",Erik Burke,,,,,,,,,,,,,,,,,,,,,,,,,,2.63
676,Picture,Janín Garcin,Instancia de las Mujeres,,Mexico,"A person in the foreground with one hand framing their face and the second raising a fist. Behind their is a backdrop featuring abstract shapes, flowers. On the right side, there is a depiction of three figures standing together, set against a purple backdrop with the number 200 and an electric meter. The color palette has purples, oranges, and greens. 
",BOOK of Janín Garcin 2023,Janín Garcin,,,,,,,,,,,,,,,,,,,,,,,,,,2.46
677,Picture,Abraham,,2023,United Kingdom,"Two individuals in a close and intimate embrace. The use of a monochromatic scheme focuses the viewer on the subjects' interlocked forms and expressions.
",https://www.instagram.com/p/Co8HNfojIbA/ ,@streetartatlas,,,,,,,,,,,,,,,,,,,,,,,,,,2.50
678,Picture,Abraham,,2022,El Salvador,"A series of distinct panels, each portraying a different subject. From left to right, there's a leopard with a fierce expression, a person playing with a flute, a smiling individual adorned with a colorful headwrap, and a person playing the trumpet, with music and celebration implied by the text ""Carnaval de Puebla"".
",https://www.instagram.com/p/CmzwR-BDHyt/,Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
679,Picture,Abraham,untitled,2022,United Kingdom,"A figure lying back in the water with reflections on the water's surface in a grayscale palette. (Note: A surreal interpretation of reality, divided by an almost imperceptible line that vanishes as we submerge or emerge within our own being).
",https://www.instagram.com/p/CiIsIw-DOwY/ ,Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,2.19
680,Picture,Abraham,DAWN,2022,United Kingdom,"A person looking upwards with an expression of hope, framed by hands that are gently cupped and facing upward as well. The background transitions from warm reds and oranges to cool blues. The person depicted in the mural appears to be Black. their features, as well as the styling of their hair, suggest that they are of African descent. The artist has chosen to render their image in grayscale. ",https://www.instagram.com/p/Ch0bvMwjAJU/,Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
681,Picture,Abraham,Our Folklore,2022,United Kingdom,"Three individuals, likely women, in grayscale against a colorful background. The individuals are adorned with traditional clothing and accessories, which, along with their features, suggest they may represent a specific cultural or ethnic group. The colors of their garments contrast with the monochrome of their faces.
",https://www.instagram.com/p/ChkZYLXDkAE/ ,Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,2.70
682,Picture,Abraham,ETIQUETTE,2022,United Kingdom,"A figure aiming a rifle with a scope with colored birds in flight around the barrel, creating a contrast between the themes of violence and nature. Use of grayscale for the figure and the weapon focuses the viewer's attention on the action and the facial expression, while the birds add a jarring element of beauty and life.
",https://www.instagram.com/p/CerJ2SjDwnX/,Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,2.30
683,Picture,Abraham,DUALIDAD,2018,El Salvador,"Central portrait of an elderly woman. their face is rendered in black and white, and they are smiling with one hand resting on their cheek. The background around the portrait is dominated by a bright blue color and it includes various fantastical and colorful elements. On the left, there is an abstract sun-like face with rays extending outward, painted in a mix of yellow, orange, and blue. Nearby, a small bird with white wings is depicted mid-flight, approaching the woman’s face. On the right side, another abstract face in shades of blue, surrounded by intricate designs and patterns. Red and white floral and leafy patterns extend across the lower portion of the mural. The mural is bordered at the top and bottom by a red stripe.
",https://www.instagram.com/p/BeMVVkJF_ud/ ,Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
684,Picture,Abraham,The Wall of the Invisible / El muro de los invisibles,2021,El Salvador,"A close-up, grayscale portrait of an elderly person, with highly detailed facial features. Use of grayscale. 
",https://www.instagram.com/p/CMrv0C3DSNq/ ,Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,1.86
685,Picture,Abraham,PLEGARIAS URBANAS,2020,El Salvador,"A close-up of an elderly individual's hands held in a gesture that may suggest prayer. The details of the wrinkles and the texture of the skin are rendered in grayscale. (Note: ""Urban Prayers"" represent souls crying out in abandonment and despair, pleading with life for justice, peace, and love).",https://www.instagram.com/p/CEs5QpblE0k/ ,Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,3.14
686,Picture,Abraham,Rayo de Sol,2017,Poland,"Monochromatic, highly detailed portrait of an elderly person, smiling broadly and holding their hands to their cheeks. The background includes colorful illustrations of birds and abstract designs that resemble musical notes or DNA strands.",https://www.instagram.com/p/BZKCWhyFYYu/ ,Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,2.61
687,Picture,Abraham,LOS CAMINANTES,2019,El Salvador,A child wearing pilot goggles and a helmet. Above the child is a hand holding a paper airplane.,https://www.instagram.com/p/B5iDTQClnbZ/,Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
688,Picture,Alain Welter,Frau Leseratte & Mr. Bookworm,2020,Belgium,"An anthropomorphic character, a mouse dressed in sailor attire, sitting on a paper plane as it glides through the air. The backdrop features a pastoral scene with trees and flying birds bathed hues of a sunset or sunrise.
",https://www.alainwelter.com/portfolio/frau-leseratte-%26-mr.-bookworm ,Alain Welter,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
689,Picture,Alain Welter,Cyclist,2018,Luxembourg,"An anthropomorphic frog riding a bicycle, with a large bird, possibly a heron or a stork, in flight next to it. The sun in the background with a landscape of trees and flowers. 
",https://www.alainwelter.com/portfolio/cyclist,Alain Welter,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
690,Picture,Alain Welter,Daily Fresh,2020,Luxembourg,"Four pineapples lined up side by side at the bottom of the image. Above the pineapples, in bold, the word ""Juicy"" written in a gradient of yellow and white. Below the phrase ""Daily Fresh!"" is written in white. The background is a mix of blue and teal tones, which complements the green leaves of the pineapples. At the bottom, the mural is signed with ""MOPE * 2020..."" in white graffiti-style text. ",https://www.instagram.com/p/CFaHuO7Apxs/,Alain Welter,,,,,,,,,,,,,,,,,,,,,,,,,,2.27
691,Picture,Alain Welter & Yvlo Skillz,Mopeye's Spinach,2019,Luxembourg,"The character Popeye is holding cans of spinach. The mural uses bold lettering, with the character shown in a joyful and triumphant pose, reminiscent of the cartoon's themes of gaining strength from eating spinach.
",https://www.instagram.com/p/BtlrAuPldwh/,Alain Welter & Yvlo Skillz,,,,,,,,,,,,,,,,,,,,,,,,,,3.05
692,Picture,Alain Welter & Artez,,2022,Serbia,"A shirtless person wearing a green cap with the word ""Opfa"" written. They are setting up a trap, using a cardboard box labeled ""94"" as the trap mechanism. The box is propped up by a stick tied to a string that the person is holding. Inside the trap, there is a piece of yellow cheese. Several white mice are scattered around the scene—some are on the person's arm, one is perched on their shoulder, while others are near the trap. The background is a plain wall with minimal color of blue and white. 
",https://www.instagram.com/p/CbezArJNXRG/ ,Alain Welter & Artez,,,,,,,,,,,,,,,,,,,,,,,,,,2.61
693,Picture,BANDIT,Message in a Bottle,2017,United States,"Large glass bottles float in the ocean, each bottle containing different scenes. The six bottles are partially submerged in the water, with the contents visible through the clear glass. The scenes inside the bottles include marine life like dolphins and fish, a diver, and two children sitting together. The water is painted in varying shades of blue and teal, with additional fish swimming outside the bottles in the open sea. The sky above transitions from warm tones of orange and pink at the horizon to darker shades higher up, where clouds are scattered across the sky. Birds are also seen flying in the sky.",https://www.instagram.com/p/BVx7JGwFIlF/ ,Bandit,,,,,,,,,,,,,,,,,,,,,,,,,,1.61
694,Picture,BANDIT,(HOMELESS CHILDREN),2014,United States,"A figure, likely a teenager or young person, sitting with their knees drawn up to their chest, facing sideways. The figure is painted in shades of gray and black, which blend into the shadows surrounding them. The background features a rough outline in a rusty orange or brown color. The wall behind the mural is painted white. (Note: The mural highlights the harsh reality of homelessness, drawing a parallel between childhood games of building cardboard forts and the grim situation of living in a cardboard box on the streets. The mural serves as a call to give back to the homeless, encouraging everyone to embrace the spirit of helping those in need).",https://www.instagram.com/p/sx-P_PJO8Q/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
695,Picture,BANDIT,,2016,United States,"A young boy, painted in grayscale, touching a globe depicted with bright colors—green for the landmasses and blue for the oceans. The globe has a bandage around it, as if it has been wounded and is in need of healing, with red drops below, suggesting blood. The boy's pose, facing away from the viewer, gives the impression that they are concerned or trying to help the Earth in some way. The scene is framed within a recessed area, and the ground in front of the mural has some objects, including a bright orange book and loose papers. ",https://www.instagram.com/p/BItIapQj8ZC/,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,1.92
696,Picture,BANDIT,All Lives Matter,2016,United States,"Three people of different ethnicities standing side by side, each with their backs to the viewer. Their torsos are bare, and the phrase ""ALL LIVES MATTER"" is written across their backs, with each word on a different person's back. They are wrapped in white fabric from the waist down. The colors are relatively muted, with the brown background providing contrast to the white fabric and the skin tones of the women, which range from dark to light. The red text stands out against the skin tones and background.
",https://www.instagram.com/p/BEWC9w4pO1W/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,2.49
697,Picture,BANDIT,Stop Child Abuse,2016,United States,"A child crouching on the ground holding a teddy bear, with a menacing, shadowy adult figure looming over them. The background is a gradient from dark at the top to lighter near the bottom. There's text on the right side saying ""Stop Child Abuse"" and ""Pin the ribbon on the ass"" with blue ribbons displayed beneath.
",https://www.instagram.com/p/BDtwpgepO_8/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,2.10
698,Picture,BANDIT,NATURE PRESERVATION BOUNDARY,2015,United States,"Two indigenous figures on either side, one standing and one kneeling, both poised with bows and arrows. Between them is a young tree, flanked by two large posts labeled ""NATURE PRESERVATION BOUNDARY."" 4) The color scheme consists of earth tones for the human figures and tree, with contrasting bright orange for the boundary markers, and a muted background that does not detract from the main subjects.
",https://www.instagram.com/p/2ZhbVPJO9N/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,1.50
699,Picture,BANDIT,,2019,United States,"A series of figures painted on a wooden fence, each progressively standing on the shoulders of the one before to spray paint a symbol that resembles a fist inside a gender symbol on the wall. The first figure on the left is crouched down, holding a stencil, and the subsequent figures are using the stencil to create the symbol. The color scheme is mostly grayscale for the figures, which stand in stark contrast to the bright pink of the gender symbol.
",https://www.instagram.com/p/ByaQ6Z3FnBK/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,2.50
700,Picture,BANDIT,"¡Majer tu voz es fuerte!  / “Women; , your voice is strong”",2020,The Bahamas,"Back view of a person with long, flowing hair. The person is partially draped in a cloth that wraps around their shoulders and waist, leaving their back exposed. Across their back, the words ""MUJER, TÚ ERES FUERTE"" are written in blue letters (translating to ""person, you are strong"" in English). The color palette is muted, with shades of gray and white dominating the scene, while the text in blue. ",https://www.instagram.com/p/B8wnSUHHKcj/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,2.47
701,Picture,BANDIT,untitled,2022,United States,"The mural features a small child, depicted in grayscale, standing against an orange brick wall. The child holds a teddy bear in one hand and appears to be looking up at a lineup of black, stencil-style assault rifles on a white background. The rifles are stacked vertically, and each one is labeled with the name of a different school where a shooting has occurred: ROB ELEMENTARY (topmost rifle), STONE person DOUGLAS, SANDY HOOK, COLUMBINE HIGH (bottom rifle). 
",https://www.instagram.com/p/CfJ2OO_ltMF/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,3.07
702,Picture,BANDIT,untitled,2021,United States,"A group of people covered in blue burqas, with only their eyes visible through the narrow slits in the fabric. The focal point of the image is a person at the center, whose face is slightly more revealed than the others, allowing their eyes and eyebrows to be seen. their eyes are intensely expressive. The mural is painted on a metal surface. The dominant color is a deep blue, contrasted by the lighter tones used to highlight the folds of the fabric, and the pale skin of the visible face.",https://www.instagram.com/p/CTSO09alRVx/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,2.53
703,Picture,BANDIT,untitled,2021,United States,"The world map on a melting candle, with the continents dripping down like wax. A flame burns brightly at the top of the candle. The color scheme is predominantly blue, representing the oceans on the world map, with the continents in brown. The yellow and orange of the flame provide a contrast to the cool blue tones of the earth. (Note: Created on Earth Day to make a statement about the Earth's condition. The candle is burning down the planet, symbolizing the planet's ongoing deterioration).",https://www.instagram.com/p/CN-lAP9MFhJ/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,3.14
704,Picture,BANDIT,Child/human sex trafficking,2019,United States,"A monochromatic mural depicting several individuals behind bars. The text ""HUMANS ARE NOT FOR SALE"" is displayed above. The figures appear distressed, with their hands pressed against the bars, emphasizing a sense of captivity and longing for freedom. Barcodes below the figures. (Note: Inspired by the alarming rise in child and human sex trafficking within the US, the artist highlights the horrifying reality of exploiting and selling vulnerable children, portraying it as the ultimate loss of freedom and humanity).
",https://www.instagram.com/p/CC1EpH6s7-C/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,1.76
705,Picture,BANDIT,A Look Within,2020,United States,"Two distinct panels. On the left side, there are two hands forming a heart shape, with various protest signs and messages filling the background. These signs display phrases such as ""For Breonna and George,"" ""Your fight is our fight,"" ""End police brutality,"" ""Defund white supremacy,"" and ""Vote for change"". The heart shape created by the hands reveals a reflective surface or a mirror. On the right side, a portrait of a Black person with a calm yet determined expression. their face is surrounded by similar protest messages, including ""BLM"" (Black Lives Matter), ""We are sacred,"" ""Stop killing us,"" and ""Protect Black women"". The person's face is painted in grayscale, . their eyes seem to be gazing directly at the viewer. The dominant colors in the mural are shades of gray and black, with red used to highlight certain words. The artist's signature is visible in the bottom right corner of the right panel. ",https://www.instagram.com/p/CFXTI6Ts2bb/ ,@_juliefaith_,,,,,,,,,,,,,,,,,,,,,,,,,,2.17
706,Picture,BANDIT,Time to Raise the Bar,2020,United States,"Six human figures climbing and hanging onto two large horizontal yellow bars set against a deep blue background. The figures are rendered in a monochromatic grayscale, contrasting with the bright yellow of the bars. The bars appear to be suspended by ropes. One figure appears to be pulling another up, while another figure is hanging onto the bar. The yellow bar in the center has a section where the paint appears to be melting or dripping, with multicolored paint (red, green, yellow, and blue) flowing downward. The mural is signed in the upper right corner, indicating the artist. (Note: ""Time to Raise the Bar"" emphasizes the need for collective action to build equality, peace, and harmony among ourselves. The message is that we, as individuals, hold the power to create change—not the government or anyone else. To achieve this, we must stop fighting each other and start listening with compassion).",https://www.instagram.com/p/CDzMAJDMWNR/ ,BANDIT BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,2.44
707,Picture,BANDIT,WE MUST TEACH OUR CHILDREN TO RESPECT THE LAND,2014,Canada,"An adult figure leading a child by the hand, both rendered in a monochrome palette. Above them is the word ""WAR"" in yellow. To the right is a message in red stating, ""We must teach our children to respect the land"". The color scheme is muted with the figures in grayscale against the off-white background. 
",https://www.instagram.com/p/sdxZVRJOwK/ ,BANDIT ,,,,,,,,,,,,,,,,,,,,,,,,,,1.87
708,Picture,BANDIT,NO TITLE,2015,United States,"Numerous hands reaching toward the center of the composition. The hands vary in size and tone. Most of the hands appear to be in shades of brown, with a few hands in lighter tones, all blending seamlessly into the darker background. One prominent hand in the lower section of the mural is painted in white, and it seems to be holding something golden, resembling a coin or a symbol of value. This hand stands out sharply against the other hands and the background. The mural is signed by the artist in the lower right corner. ",https://www.instagram.com/p/5yC1qcpO-z/ ,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,2.57
709,Picture,BANDIT,Unity,2015,United States,"A child with closed eyes and a somber expression, holding a pencil and drawing on their chest. From the back of the child, two large wings made up of multiple colorful flags from around the world extend outward. The color scheme is predominantly grayscale for the child, contrasted with the colors of the flags.
",https://www.instagram.com/p/CaXtySpPP4F/,BANDIT,,,,,,,,,,,,,,,,,,,,,,,,,,2.40
710,Picture,Sancho Medina,Mysky-Templanza,2023,Colombia,"Fusion of a person's face and a jaguar, with the animal's features superimposed on the person's face. The background is filled with abstract shapes and large, colorful flowers that frame the central figures.",https://www.instagram.com/p/CpwA8IsMk4U/ ,Sancho Medina,,,,,,,,,,,,,,,,,,,,,,,,,,2.64
711,Picture,Sancho Medina,ALFAREROS,2022,Mexico,"An person’s face in profile, eyes closed. The face is framed by hands. The background is filled with a kaleidoscope of abstract, geometric shapes in a variety of colors that add contrast to the earthy tones of the hands and face.
",https://www.instagram.com/p/CmaNi-rMmIb/ ,Sancho Medina,,,,,,,,,,,,,,,,,,,,,,,,,,3.09
712,Picture,Sancho Medina,HUINQUI Amazonia protegiéndose,2022,Peru,"A person with a crown of flowers. The individual's hands are forward, with one hand releasing an array of butterflies. The other hand has flames rising from the fingertips . The background is green.
",https://www.instagram.com/p/CfsNyQjMuES/ ,Sancho Medina,,,,,,,,,,,,,,,,,,,,,,,,,,3.29
713,Picture,Sancho Medina,Selva de cemento,2022,Colombia,"A close-up of a gorilla's face, expressing emotion with the mouth open. The gorilla is set against a backdrop of abstract shapes and flames that seem to emanate from the creature.
",https://www.instagram.com/p/CduGwOMMgvl/ ,Sancho Medina,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
